gen,kind,idx,fit,wins,ties,margin,sigma
3,child,13,29677,3,0,-323,0.32440078125
3,child,14,-643,0,0,-643,0.32440078125
3,child,15,19660,2,0,-340,0.32440078125
3,child,16,-582,0,0,-582,0.32440078125
3,child,17,-616,0,0,-616,0.32440078125
3,child,18,-640,0,0,-640,0.32440078125
3,child,19,-464,0,0,-464,0.32440078125
3,child,20,9575,1,0,-425,0.32440078125
3,child,21,-548,0,0,-548,0.32440078125
3,child,22,1475,0,1,-525,0.32440078125
3,child,23,-557,0,0,-557,0.32440078125
4,champ,-1,19634,2,0,-366,0.31629076171875
4,child,0,-453,0,0,-453,0.31629076171875
4,child,1,-546,0,0,-546,0.31629076171875
4,child,2,-601,0,0,-601,0.31629076171875
4,child,3,-611,0,0,-611,0.31629076171875
4,child,4,-534,0,0,-534,0.31629076171875
4,child,5,-702,0,0,-702,0.31629076171875
4,child,6,-584,0,0,-584,0.31629076171875
4,child,7,-536,0,0,-536,0.31629076171875
4,child,8,-464,0,0,-464,0.31629076171875
4,child,9,9643,1,0,-357,0.31629076171875
4,child,10,19557,2,0,-443,0.31629076171875
4,child,11,-532,0,0,-532,0.31629076171875
4,child,12,9520,1,0,-480,0.31629076171875
4,child,13,9530,1,0,-470,0.31629076171875
4,child,14,-523,0,0,-523,0.31629076171875
4,child,15,-715,0,0,-715,0.31629076171875
4,child,16,-694,0,0,-694,0.31629076171875
4,child,17,-599,0,0,-599,0.31629076171875
4,child,18,-561,0,0,-561,0.31629076171875
4,child,19,-477,0,0,-477,0.31629076171875
4,child,20,9555,1,0,-445,0.31629076171875
4,child,21,-447,0,0,-447,0.31629076171875
4,child,22,-546,0,0,-546,0.31629076171875
4,child,23,-638,0,0,-638,0.31629076171875
5,champ,-1,9574,1,0,-426,0.30838349267578125
5,child,0,-673,0,0,-673,0.30838349267578125
5,child,1,9487,1,0,-513,0.30838349267578125
5,child,2,-491,0,0,-491,0.30838349267578125
5,child,3,9504,1,0,-496,0.30838349267578125
5,child,4,-479,0,0,-479,0.30838349267578125
5,child,5,-638,0,0,-638,0.30838349267578125
5,child,6,-492,0,0,-492,0.30838349267578125
5,child,7,-511,0,0,-511,0.30838349267578125
5,child,8,19509,2,0,-491,0.30838349267578125
5,child,9,1505,0,1,-495,0.30838349267578125
5,child,10,-713,0,0,-713,0.30838349267578125
5,child,11,9560,1,0,-440,0.30838349267578125
5,child,12,9494,1,0,-506,0.30838349267578125
5,child,13,-589,0,0,-589,0.30838349267578125
5,child,14,9436,1,0,-564,0.30838349267578125
5,child,15,19630,2,0,-370,0.30838349267578125
5,child,16,-519,0,0,-519,0.30838349267578125
5,child,17,9561,1,0,-439,0.30838349267578125
5,child,18,-577,0,0,-577,0.30838349267578125
5,child,19,-549,0,0,-549,0.30838349267578125
5,child,20,19548,2,0,-452,0.30838349267578125
5,child,21,-607,0,0,-607,0.30838349267578125
5,child,22,-601,0,0,-601,0.30838349267578125
5,child,23,19541,2,0,-459,0.30838349267578125
6,champ,-1,29699,3,0,-301,0.3006739053588867
6,child,0,-567,0,0,-567,0.3006739053588867
6,child,1,-642,0,0,-642,0.3006739053588867
6,child,2,19635,2,0,-365,0.3006739053588867
6,child,3,19509,2,0,-491,0.3006739053588867
6,child,4,19581,2,0,-419,0.3006739053588867
6,child,5,9595,1,0,-405,0.3006739053588867
6,child,6,-510,0,0,-510,0.3006739053588867
6,child,7,-479,0,0,-479,0.3006739053588867
6,child,8,-456,0,0,-456,0.3006739053588867
6,child,9,19639,2,0,-361,0.3006739053588867
6,child,10,9331,1,0,-669,0.3006739053588867
6,child,11,19503,2,0,-497,0.3006739053588867
6,child,12,-521,0,0,-521,0.3006739053588867
6,child,13,9570,1,0,-430,0.3006739053588867
6,child,14,-628,0,0,-628,0.3006739053588867
6,child,15,1587,0,1,-413,0.3006739053588867
6,child,16,9501,1,0,-499,0.3006739053588867
6,child,17,-612,0,0,-612,0.3006739053588867
6,child,18,-489,0,0,-489,0.3006739053588867
6,child,19,29629,3,0,-371,0.3006739053588867
6,child,20,-547,0,0,-547,0.3006739053588867
6,child,21,19592,2,0,-408,0.3006739053588867
6,child,22,-654,0,0,-654,0.3006739053588867
6,child,23,-741,0,0,-741,0.3006739053588867
7,champ,-1,29681,3,0,-319,0.2931570577249145
7,child,0,-620,0,0,-620,0.2931570577249145
7,child,1,19685,2,0,-315,0.2931570577249145
7,child,2,-643,0,0,-643,0.2931570577249145
7,child,3,-606,0,0,-606,0.2931570577249145
7,child,4,-554,0,0,-554,0.2931570577249145
7,child,5,9621,1,0,-379,0.2931570577249145
7,child,6,9586,1,0,-414,0.2931570577249145
7,child,7,-652,0,0,-652,0.2931570577249145
7,child,8,9452,1,0,-548,0.2931570577249145
7,child,9,29626,3,0,-374,0.2931570577249145
7,child,10,-578,0,0,-578,0.2931570577249145
7,child,11,-599,0,0,-599,0.2931570577249145
7,child,12,-551,0,0,-551,0.2931570577249145
7,child,13,9600,1,0,-400,0.2931570577249145
7,child,14,-511,0,0,-511,0.2931570577249145
7,child,15,-595,0,0,-595,0.2931570577249145
7,child,16,-588,0,0,-588,0.2931570577249145
7,child,17,19584,2,0,-416,0.2931570577249145
7,child,18,9548,1,0,-452,0.2931570577249145
7,child,19,9574,1,0,-426,0.2931570577249145
7,child,20,9650,1,0,-350,0.2931570577249145
